city,Nb vehicules,Nb vehicules elec,lat,lng,Indice critair,score ecosocial
neuilly sur seine,33860,397,48.8881,2.2686,1.0,74.33333333333334
boulogne billancourt,61503,1727,48.8352,2.2409,0.924241473663336,73.41666666666667
st cloud,15089,125,48.84,2.22,0.9076765411031307,77.75
garches,9173,60,48.8456,2.1869,0.9013902147137633,77.0
le plessis robinson,18081,117,48.7811,2.2633,0.8869277217299532,79.66666666666667
rouen,106609,929,49.4428,1.0886,0.8758302591364595,42.33333333333333
eze,2013,13,43.7278,7.3611,0.8565700108838263,70.08333333333333
levallois perret,32075,230,48.895,2.2872,0.8494791478055079,74.66666666666667
puteaux,32316,658,48.885,2.2389,0.8321846620006554,70.83333333333333
lesquin,10775,38,50.5897,3.1111,0.8281262468471517,75.66666666666666
st mande,7247,44,48.8422,2.4186,0.8276085017210009,74.83333333333334
sevres,10883,82,48.8239,2.2117,0.8236989344215733,72.83333333333333
sceaux,8209,66,48.7786,2.2906,0.8194541661112762,76.91666666666666
villefranche sur mer,3393,17,43.7042,7.3117,0.8166963533239917,68.25
la garenne colombes,12405,65,48.9056,2.2445,0.8154570880014895,76.5
beaulieu sur mer,2264,12,43.7069,7.3314,0.8116632822629621,58.83333333333333
nogent sur marne,13417,66,48.8375,2.4833,0.8109212510037849,74.33333333333334
charbonnieres les bains,3925,24,45.7806,4.7464,0.8088684243716528,79.41666666666666
paris,675617,9376,48.8566,2.3522,0.7986699850462871,62.083333333333336
viroflay,8233,44,48.8,2.1722,0.7938211173278154,83.08333333333334
rueil malmaison,56060,877,48.876,2.181,0.786789233727669,74.0
vincennes,16306,94,48.8478,2.4392,0.780195900171639,74.41666666666666
charenton le pont,11811,70,48.8265,2.405,0.7779245801311432,73.25
limonest,5897,32,45.8369,4.7719,0.7762172043340572,76.83333333333334
montrouge,19359,128,48.8172,2.3219,0.7685194622199352,71.66666666666666
st maur des fosses,38698,205,48.7994,2.4997,0.767774421033685,76.33333333333334
cassis,5446,43,43.2156,5.5372,0.7627337468901128,67.25
bois guillaume,9403,64,49.47,1.1194,0.7609003263916598,77.58333333333333
cleon,7701,18,49.315,1.0356,0.7604068869557428,26.25
meudon,21693,167,48.8123,2.2382,0.7582148325523006,71.16666666666666
antony,32128,199,48.7539,2.2975,0.753502666642663,74.08333333333334
bry sur marne,8881,33,48.8411,2.5222,0.7511719519744093,74.83333333333334
bois colombes,12547,58,48.9175,2.2683,0.7486064879284222,71.66666666666666
chaville,8749,56,48.8086,2.1886,0.7455979020145898,77.58333333333334
bondues,7155,37,50.7017,3.0933,0.7438356442810772,76.41666666666667
issy les moulineaux,43282,253,48.8239,2.27,0.743324713111857,76.16666666666666
velizy villacoublay,24266,95,48.7834,2.1834,0.7423961291549261,79.25
vanves,9268,68,48.8208,2.2897,0.7417036485964577,73.58333333333334
suresnes,22558,123,48.87,2.22,0.7398714155734916,72.41666666666666
ecully,11442,72,45.7744,4.7775,0.7327639090290501,64.91666666666667
bourg la reine,8138,74,48.7796,2.3151,0.7320880413246571,75.5
rungis,13043,114,48.7483,2.3497,0.7192897407671675,81.41666666666667
joinville le pont,8869,37,48.8214,2.4728,0.7145692765080129,67.75
chamalieres,11496,19,45.7736,3.0669,0.714298544411633,74.66666666666667
meylan,13578,85,45.2086,5.7794,0.7140574116322322,78.66666666666666
mont st aignan,13655,52,49.4625,1.0872,0.7130165787758105,64.58333333333334
mouvaux,8037,47,50.7033,3.1406,0.708606397814636,72.41666666666666
tassin la demi lune,14895,51,45.764,4.78,0.7046499899835417,73.66666666666666
clichy,27236,552,48.9044,2.3064,0.7018952104849827,49.25
balma,14466,150,43.6103,1.4986,0.6988815896884817,74.16666666666666
plan de cuques,7586,30,43.3469,5.4631,0.694907032802774,74.66666666666667
lagord,5829,42,46.1894,-1.1542,0.6947124483270297,75.33333333333333
laxou,9660,65,48.6856,6.1522,0.6890282791339355,44.16666666666667
clamart,26218,186,48.8014,2.2628,0.6882216154480489,68.91666666666667
dardilly,8959,54,45.8056,4.7531,0.6876694904140499,77.75
santeny,3137,40,48.7258,2.5722,0.6847610201209622,78.16666666666666
st genis les ollieres,3610,21,45.7572,4.7264,0.6844519581275672,79.16666666666666
souffelweyersheim,6329,32,48.635,7.7408,0.6843619073842024,72.33333333333333
lambersart,15321,51,50.65,3.025,0.6840718918053725,70.33333333333333
chatenay malabry,16899,84,48.7653,2.2781,0.6808108321467179,65.5
villers les nancy,9910,76,48.6731,6.1547,0.6791025638015058,69.83333333333333
la wantzenau,4533,30,48.6581,7.8283,0.6763320897847227,81.0
wambrechies,7467,35,50.6853,3.0486,0.6758936312343642,76.41666666666667
caluire et cuire,24875,137,45.7953,4.8472,0.6726078379904972,70.5
oberhausbergen,3398,24,48.6067,7.6853,0.6723468215121224,73.08333333333334
tourville la riviere,12730,80,49.3286,1.1053,0.6702058551103791,60.91666666666667
eguilles,6708,59,43.5686,5.3542,0.6675671710227795,77.41666666666666
puilboreau,5029,32,46.1858,-1.1172,0.667350275757773,72.5
la madeleine,11432,73,50.6558,3.071,0.6668286560786614,63.5
emmerin,1985,5,50.5933,3.0017,0.6662345146169919,80.16666666666667
le mesnil esnard,5248,23,49.4108,1.1419,0.665523097099816,76.66666666666666
wasquehal,14116,60,50.6694,3.1308,0.6654930058520625,69.16666666666666
le raincy,7259,41,48.8992,2.5231,0.6653889347896285,64.91666666666666
st laurent du var,22539,88,43.668,7.188,0.6652705225132407,67.25
sequedin,2944,14,50.6264,2.985,0.6642472141495377,78.66666666666666
st jorioz,4754,27,45.8336,6.1639,0.663639561103742,81.91666666666666
ventabren,4543,37,43.5389,5.2931,0.6636121670036075,77.83333333333334
carqueiranne,8216,41,43.095,6.0736,0.6635634267615731,69.58333333333334
cagnes sur mer,34727,219,43.6644,7.1489,0.6627750823620886,63.08333333333333
ste foy les lyon,12767,52,45.73,4.8,0.6610612241774634,73.91666666666667
malakoff,12663,99,48.8169,2.2944,0.6606408568803475,63.08333333333333
capinghem,1802,5,50.6444,2.9619,0.6571339367170039,72.16666666666667
carry le rouet,5048,31,43.3319,5.1519,0.6561251977693181,77.16666666666667
noiseau,2960,17,48.7769,2.5472,0.6541124911011291,81.58333333333333
bonsecours,3817,7,49.4278,1.1278,0.6534634141221045,70.41666666666666
fontenay aux roses,9635,71,48.7893,2.2888,0.6529988988195101,67.08333333333334
la tronche,3414,25,45.2064,5.7403,0.6489180456270005,74.91666666666666
allauch,15309,79,43.3369,5.4828,0.6484845128826047,75.41666666666666
maisons alfort,24934,69,48.8058,2.4378,0.6484029165457761,71.33333333333333
megeve,3507,10,45.8569,6.6175,0.6482370611436505,82.83333333333333
st priest en jarez,4714,23,45.4742,4.3781,0.6476968949581021,71.5
seyssins,5460,40,45.1561,5.6797,0.6470061745895106,78.91666666666667
craponne,7127,52,45.7453,4.7233,0.6420336215462279,76.08333333333334
arcueil,12373,104,48.8075,2.3361,0.6412484952938686,56.66666666666667
bezannes,2797,21,49.2233,3.9886,0.6407570047364524,79.91666666666666
poisy,5945,22,45.9222,6.0631,0.6403418964361296,78.41666666666667
fontaines sur saone,4147,19,45.8358,4.845,0.640276733626131,70.5
annecy,89712,573,45.916,6.133,0.6383416006044524,70.83333333333333
la valette du var,17323,57,43.1383,5.9831,0.6360175531088479,67.58333333333334
baisieux,3065,18,50.6153,3.2408,0.6358435832891565,81.75
gemenos,6371,55,43.2961,5.6269,0.6356752962153824,74.75
linselles,5291,27,50.7372,3.0794,0.6334314684935785,73.0
cabries,7494,64,43.4411,5.3797,0.6328100538249655,81.08333333333333
gournay sur marne,3991,23,48.8597,2.5764,0.6306621838803115,79.08333333333333
le pradet,8279,30,43.1056,6.0233,0.6291353090831331,72.08333333333333
heillecourt,5374,12,48.6525,6.1942,0.6286718495065489,77.5
royat,3206,9,45.765,3.05,0.6275302761997357,64.58333333333333
st orens de gameville,9460,120,43.5514,1.5342,0.6273563880467883,72.41666666666666
gentilly,9087,51,48.8133,2.3444,0.6244733352132097,52.583333333333336
reichstett,3510,19,48.6458,7.7522,0.6236252705027048,74.41666666666666
montferrier sur lez,2999,10,43.6686,3.8572,0.6235124393826772,75.25
aix en provence,99875,678,43.5263,5.4454,0.6230916225442922,61.33333333333333
chamonix mont blanc,7247,48,45.9222,6.8689,0.6207576891019584,74.58333333333334
sathonay camp,4876,2,45.8247,4.8744,0.6203503980312357,71.16666666666666
la gaude,5470,40,43.7219,7.1531,0.6198864791183012,75.83333333333334
roncq,10564,34,50.7536,3.1203,0.6197536449330774,74.16666666666666
lyon,238100,2144,45.76,4.84,0.6184950066171968,60.08333333333333
mundolsheim,4037,24,48.6436,7.7142,0.61808581389172,78.75
ceyrat,4641,16,45.7328,3.0633,0.6162458757361851,80.66666666666666
sausset les pins,5912,33,43.3322,5.1139,0.6132514193084129,74.91666666666666
nice,178599,1380,43.7034,7.2663,0.6119805399299469,48.75
vence,13203,77,43.7225,7.1119,0.6102232305828013,61.41666666666667
illkirch graffenstaden,18084,153,48.53,7.72,0.6078821841733624,64.0
bouc bel air,12149,89,43.4544,5.4144,0.6072701644890679,79.58333333333334
sallanches,12743,52,45.9364,6.6319,0.6035073711288592,76.91666666666666
six fours les plages,28893,108,43.1009,5.82,0.6032227353972592,64.41666666666666
venelles,6906,47,43.5983,5.4825,0.6026668119551815,76.5
st mandrier sur mer,3476,9,43.0761,5.9278,0.6025613034232133,61.66666666666667
pouillon,353,1,43.6044,-0.9964,0.6024827468599301,62.5
bihorel,4851,10,49.4547,1.1167,0.6014229427155326,67.25
cormontreuil,5070,25,49.2228,4.0519,0.6010681873076162,75.5
sucy en brie,15091,73,48.7697,2.5228,0.6006115361604554,71.0
pulnoy,4290,9,48.7011,6.2583,0.5995782145943682,72.75
st jean,8211,29,43.6653,1.505,0.5966389163348143,73.75
eschau,3913,20,48.4881,7.7158,0.5964035661998057,77.83333333333334
aubiere,9011,27,45.7508,3.1108,0.5952879882772004,63.083333333333336
lattes,14011,59,43.5678,3.9021,0.5951635594018296,67.16666666666667
neuville en ferrain,7413,18,50.7467,3.1581,0.5926184159774643,77.83333333333334
essey les nancy,5793,13,48.7058,6.2222,0.5901264429293347,59.83333333333333
ceyreste,3672,27,43.2136,5.6297,0.5895811144527756,75.5
montrabe,3470,20,43.6425,1.525,0.5893727745954132,79.0
cachan,10582,60,48.7919,2.3319,0.58893363476008,59.25
st genis laval,14221,60,45.696,4.793,0.5877696456279464,70.33333333333333
templemars,3185,15,50.5742,3.0544,0.587666541583419,75.41666666666666
sassenage,7834,25,45.205,5.665,0.5875575291112387,74.83333333333334
pibrac,6201,37,43.6169,1.2847,0.586973732639442,78.83333333333334
gieres,4258,18,45.1819,5.7919,0.584820649567952,72.75
fontenay sous bois,20691,94,48.8517,2.4772,0.5845479465245411,59.75
chatelaillon plage,4696,18,46.0731,-1.0881,0.5832438070352972,62.91666666666667
les houches,2807,18,45.89,6.7986,0.583194636712284,73.83333333333334
tournefeuille,19165,126,43.5853,1.3442,0.5830150875742452,74.33333333333334
vendenheim,4414,15,48.6675,7.7131,0.5819193937527691,74.33333333333334
santes,4003,11,50.5933,2.9622,0.5809269671907589,79.5
tinqueux,8276,20,49.25,3.9908,0.5806619943999634,72.33333333333333
chassieu,10009,47,45.7444,4.9664,0.5801638011674157,77.25
blagnac,17643,126,43.6364,1.3906,0.5796646866339423,64.75
la fouillouse,4196,7,45.5039,4.3136,0.5795001339326147,80.41666666666666
castelnau le lez,14799,87,43.6369,3.9019,0.5782727827583427,65.16666666666667
ludres,6443,25,48.6217,6.1617,0.5778129423374123,78.58333333333334
nancy,51982,580,48.6936,6.1846,0.5772606311839947,44.25
nanterre,71271,763,48.8988,2.1969,0.5758100066406433,48.75
ollioules,10744,47,43.1394,5.8469,0.5757589353728441,65.33333333333334
saulxures les nancy,2818,6,48.6889,6.2469,0.574054456807211,72.75
bousbecque,3160,8,50.7708,3.0786,0.5737789912902143,78.41666666666667
st galmier,4407,8,45.59,4.3172,0.5732492100473388,79.25
simiane collongue,4327,30,43.4311,5.4325,0.5729444673951489,77.08333333333334
fegersheim,4137,11,48.4906,7.6803,0.5722069440453112,77.83333333333333
coubron,3023,21,48.9153,2.5775,0.5721168460805068,78.66666666666666
noisy le grand,37629,151,48.8478,2.5528,0.5717068037890347,56.25
les lilas,6511,26,48.88,2.42,0.5716838627974252,58.75
croix,11141,46,50.6781,3.1508,0.5709674931296402,57.416666666666664
gattieres,3379,7,43.7594,7.1758,0.5688084334216588,75.16666666666667
pelissanne,7677,39,43.6314,5.1506,0.5683455762075158,75.83333333333334
fretin,3486,16,50.5575,3.1342,0.5680800375664821,78.16666666666666
ormesson sur marne,6974,41,48.7858,2.5383,0.5676295021085447,78.0
holtzheim,2518,9,48.5586,7.6411,0.5670164921449401,80.83333333333334
roquevaire,7143,44,43.3494,5.6047,0.5663783768515502,70.5
beaurains,4235,15,50.2631,2.7886,0.5663664003111459,63.333333333333336
dainville,3849,10,50.2819,2.7272,0.5660021498356489,72.5
perenchies,4992,18,50.6681,2.9725,0.5659839860753468,69.91666666666666
carnoux en provence,4962,26,43.2564,5.5644,0.5647518890682264,68.91666666666667
chennevieres sur marne,11172,50,48.7983,2.5339,0.5645672166737383,57.16666666666667
neuilly plaisance,10448,52,48.8619,2.5064,0.5631150304009407,65.41666666666666
le plessis trevise,10999,41,48.8111,2.5717,0.5618734745492828,72.33333333333334
eybens,7368,34,45.1486,5.7503,0.5612364118844875,69.91666666666666
freneuse,724,1,49.0472,1.6008,0.561038684664136,61.0
wavrin,5122,13,50.5739,2.9389,0.5607733753349455,67.91666666666666
seclin,9552,57,50.5483,3.0294,0.5605023075177513,58.25
clapiers,3811,26,43.6575,3.8883,0.5601327867150498,69.33333333333333
eckbolsheim,5192,18,48.5789,7.6897,0.559963459856816,73.58333333333334
montelier,3378,22,44.9375,5.0311,0.5586141098504958,77.5
perols,7241,37,43.565,3.9506,0.5521776440095705,67.75
boos,2778,13,49.3881,1.2031,0.5516937740358521,80.91666666666667
meyreuil,5746,48,43.4861,5.4956,0.5511920811104085,76.25
st gervais les bains,4836,8,45.8925,6.7136,0.5510707911115502,80.83333333333334
st savournin,2552,17,43.4064,5.5275,0.5495733602479018,78.0
villecresnes,7186,30,48.7214,2.5342,0.547968235925056,76.75
thiais,14066,56,48.765,2.3923,0.5458683245246592,62.75
rognes,3801,27,43.6644,5.3472,0.5452983636126079,66.58333333333333
toufflers,2650,9,50.6608,3.2297,0.5452574453775894,78.41666666666667
leers,6330,23,50.6817,3.2439,0.5446834771021605,73.75
le revest les eaux,2928,10,43.1764,5.9264,0.5439460530911804,78.91666666666667
st max,5225,24,48.7011,6.2067,0.5436250863146475,57.0
st andre de la roche,3562,11,43.74,7.2878,0.5435806172404458,66.25
seichamps,3299,6,48.7158,6.2661,0.5431128705832413,75.25
plobsheim,3055,25,48.4697,7.7258,0.5429254365073675,77.83333333333334
chevilly larue,10378,48,48.7664,2.3533,0.5426112753364829,59.83333333333333
juvisy sur orge,7650,19,48.6883,2.3775,0.5421012609293094,61.166666666666664
arras,26019,301,50.292,2.78,0.5413241125211741,36.333333333333336
levens,3618,21,43.8608,7.2244,0.540773299262649,72.58333333333333
achicourt,4825,7,50.2733,2.7594,0.540032378943947,55.25
st leger du bourg denis,2125,5,49.4344,1.1506,0.539581232099696,64.0
st xandre,3822,16,46.2047,-1.1025,0.5395454908798962,76.83333333333334
nieul sur mer,4628,16,46.2067,-1.1636,0.5395178051528768,70.41666666666667
velaux,7169,49,43.5225,5.2539,0.5393594851749146,74.66666666666666
la talaudiere,5539,22,45.4814,4.4319,0.5383628152373028,68.66666666666666
marignier,5430,15,46.0903,6.4997,0.5359416172097551,80.5
la ciotat,27247,122,43.1769,5.6086,0.5352004055601194,59.66666666666667
greasque,3234,28,43.4306,5.5392,0.5346174314704997,77.33333333333334
st egreve,11023,72,45.2317,5.6831,0.5315292517372892,73.41666666666667
etoile sur rhone,4366,17,44.8369,4.8939,0.5313340061530263,72.66666666666667
st jean de vedas,10852,44,43.5764,3.8239,0.530848220922242,69.25
la bouilladisse,4665,43,43.3953,5.5953,0.5307277413030294,77.5
baillargues,5874,26,43.6611,4.0128,0.5297749461264343,71.58333333333333
grans,4160,16,43.6086,5.0631,0.5295408055642015,74.16666666666666
domene,4560,22,45.2025,5.8389,0.5294753905341154,71.91666666666666
hyeres,39481,150,43.1199,6.1316,0.5293006940329583,57.083333333333336
houplin ancoisne,2352,7,50.5636,3.0017,0.5275514639349668,75.41666666666666
bischheim,13188,25,48.6139,7.7519,0.5272484224398126,44.25
erquinghem lys,4654,6,50.6756,2.8475,0.5268536730713378,74.0
st cannat,4803,29,43.6214,5.2981,0.5263389362558528,71.83333333333334
st genest lerpt,4341,12,45.4461,4.3367,0.5252391134440719,71.41666666666667
beaumont les valence,3417,8,44.8619,4.9428,0.5247412064340042,76.66666666666666
colombes,33755,157,48.9236,2.2522,0.5242724614562206,57.08333333333333
la crau,14955,38,43.1497,6.0742,0.5239952813035433,72.08333333333333
la destrousse,2871,13,43.3764,5.6067,0.5239104355922062,75.08333333333333
oullins,13628,42,45.715,4.8083,0.5228838189289595,64.91666666666666
creteil,40251,440,48.7911,2.4628,0.5228355173729424,50.083333333333336
aubagne,34363,184,43.2908,5.5708,0.5221419468862734,57.416666666666664
thyez,4987,32,46.0836,6.5411,0.5216796406623074,74.91666666666666
passy,8937,48,45.9236,6.6864,0.5216167469700781,79.66666666666666
witry les reims,3833,10,49.2931,4.1208,0.5213887899273271,79.75
le cres,6708,30,43.6472,3.9392,0.5194119075335712,71.66666666666666
la fare les oliviers,6258,19,43.5517,5.1947,0.5189363581030539,73.5
la trinite,6537,18,43.7408,7.3142,0.518472825212168,67.08333333333333
montmeyran,2408,13,44.8331,4.975,0.5177248393157852,71.25
sainghin en weppes,3360,6,50.5625,2.9006,0.5171880448828525,77.08333333333334
tourrette levens,3215,10,43.7867,7.2758,0.5169962491025726,72.75
sorbiers,6223,11,45.4878,4.4503,0.5163683184653451,78.75
cornebarrieu,5432,38,43.6494,1.3264,0.5147744463500974,74.08333333333334
betheny,5256,15,49.2847,4.0569,0.5139508207912318,73.33333333333333
savigny sur orge,19676,62,48.6797,2.3457,0.5135312857808092,64.75
gagnac sur garonne,2202,8,43.6989,1.3756,0.5125608309018186,72.75
lespinasse,4096,7,43.7083,1.3858,0.5118296861684075,73.33333333333333
